,Type of territory,Borough / Linked city,Stakes: Financial support?,Stakes: Maintenance of operations?,Stakes: Taxation (taxes and levies)?,Stakes: Human resources?,Stakes: Regulation?,Stakes: Marketing?,Stakes: Health and safety?,Stakes: Search for sanitary equipment?,Stakes: Space planning?,Stakes: Permit for outdoor terraces?,Stakes: Other?,Interest in the emergency aid program?,Social media presence?,Presence on Facebook?,Presence on Twitter?,Presence on Instagram?,Presence on LinkedIn?,Do you sell online?,Online sales channel,Do you know the urban delivery service?,Are you interested in the urban delivery service?,Interest in the support program for the digital transformation of companies?,Do you offer a delivery service?,Are you satisfied with your current delivery service?,Would you be interested in the urban delivery service (by bike) set up by the City of Montreal and its partners if you had access?,Was the information we gave you useful to you?,label
343,2,27,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,4,0,1,1,4,3,5,1,0
1754,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,0,2,0,1,1
925,1,23,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,1,3,4,3,5,1,1
405,1,21,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,2,1,0,3,3,4,3,5,1,0
308,2,27,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,0,3,1,4,3,5,1,0
1082,1,15,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,4,3,1,4,3,1,1
1828,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,4,1,1,4,0,1,1
691,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,1
92,1,26,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,4,3,4,4,4,3,5,2,1
1517,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,3,3,4,4,5,4,6,2,1
1281,1,13,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
604,2,5,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,2,1,2,3,4,3,5,1,1
1477,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,3,4,0,1,4,1,1,1
40,1,26,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,4,3,5,1,0
1032,1,18,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
134,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,3
1646,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,2,3,4,3,1,4,1,1,1
1269,1,20,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,4,0,1,4,4,1,1
1226,1,26,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,3,3,4,3,3,1,3,1,2
1694,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,0,2,5,1,1,1
801,1,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,4,3,5,1,1
755,1,15,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,0,3,3,4,3,5,1,3
410,1,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,1,2,4,4,3,5,1,1
1558,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,4,3,1,4,3,1,2
1287,1,25,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,3,4,0,2,4,1,1,1
1379,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,3,4,2,1,4,1,0,1
530,1,25,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,0,3,0,4,3,5,2,3
1064,1,4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,4,3,4,3,5,1,1
31,1,21,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,2,1,1,4,3,5,1,1
1061,2,19,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,3,4,3,4,3,5,1,1
971,1,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,4,3,5,1,1
760,1,13,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,0
352,1,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,2,4,3,5,1,1
1651,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,0,0,2,1,1,1
980,1,21,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,1,2,4,4,3,5,2,1
47,1,11,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,2,4,0,3,3,4,3,5,1,0
837,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,2,4,3,5,2,1
1175,1,18,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3,4,4,5,4,6,1,1
886,1,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,4,3,5,1,1
1243,2,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
965,1,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,3,3,4,3,5,2,1
38,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,4,3,5,1,1
22,1,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,4,3,5,1,0
1476,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,1,4,6,1,1
1534,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3,4,1,3,1,0,1,1
891,1,18,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,2,3,4,3,5,1,2
619,1,4,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,2,0,4,3,5,1,1
777,1,15,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,2,0,4,3,5,1,1
1829,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
695,2,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,3,4,1,4,3,5,2,1
1654,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
511,1,15,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
1599,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,0,2,0,1,1
1532,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1550,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,3,3,4,3,3,4,3,1,2
1564,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,3,3,5,0,1,2
131,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,2,3,3,4,3,5,1,1
1696,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
1043,1,15,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,1,2,0,4,3,5,1,1
647,1,4,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,2,1,2,3,4,3,5,1,0
378,1,26,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
283,1,21,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,2,4,1,2,1,4,3,5,1,1
1871,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
1768,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,4,0,1,4,1,1,1
250,2,27,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
1701,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,1,5,4,6,1,1
219,1,26,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,3,3,0,3,0,4,3,5,1,0
1030,1,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
196,1,26,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,5,0,3,3,4,3,5,1,0
1858,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
722,1,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,3,3,1,2,3,4,3,5,1,1
1111,1,11,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,3,3,4,3,3,1,3,1,2
333,1,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,4,3,0,2,0,1,1
1217,1,20,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3,4,4,5,4,6,1,1
383,1,21,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,2,4,0,3,1,4,3,5,1,2
286,1,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,2,1,4,3,5,1,0
1039,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
259,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,4,3,5,1,2
822,1,4,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
2,1,11,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,2,4,2,1,1,4,3,5,1,1
1610,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,4,3,3,5,1,1,1
1374,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,1,5,4,6,1,1
1804,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,3,4,3,1,4,1,1,1
325,1,24,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,4,3,5,1,2
772,2,6,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,2,2,3,3,4,3,5,1,2
1410,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,2,3,4,3,1,4,1,1,1
1830,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
26,1,11,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,2,0,3,3,4,3,5,1,0
998,1,21,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,2
1685,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,3,3,3,4,3,3,1,1,1,2
1886,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1235,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
356,2,27,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,2,3,3,4,3,5,1,0
529,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,0,1,2,4,3,5,1,2
1862,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,1,0,2,0,1,1
435,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,4,3,5,0,1
1533,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,0,1,4,1,1,2
1700,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,3,4,3,1,4,1,1,2
434,1,24,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,4,0,3,3,4,3,5,1,0
240,1,17,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,4,3,5,2,1
644,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,6,1,2,3,4,3,5,2,1
1802,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,3,3,4,3,1,4,1,1,1
1439,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1590,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,3,2,1,3,2,2
866,1,25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3,0,3,3,4,3,5,1,1
1256,1,25,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,3,4,0,1,4,1,1,1
1665,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,3,3,4,4,5,4,1,0,1
1514,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,3,4,3,0,2,3,1,1
960,1,13,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,6,3,4,3,4,3,5,1,1
277,1,26,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,2,0,4,3,5,2,1
1670,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,3,1,4,1,1,1
639,1,18,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,2,4,1,2,1,4,3,5,1,1
217,1,11,1,1,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,1,0,1,2,0,4,3,5,1,1
1083,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
608,1,9,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,3,4,0,4,3,5,1,1
186,1,17,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,6,0,3,0,4,3,5,2,2
591,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,2,3,1,2,3,4,3,5,1,1
853,1,18,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
214,1,26,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,2,1,2,4,3,5,1,1
1259,1,9,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1808,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,3,3,4,3,1,4,1,2,2
1638,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,1,4,1,1,1
409,1,26,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,3
717,2,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
788,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,4,3,5,1,1
1288,1,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
825,1,25,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
1586,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,3,4,3,1,4,3,1,1
1055,1,15,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1893,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
375,1,11,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,2,4,0,3,3,4,3,5,1,2
1196,1,21,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,2,4,3,4,0,3,1,3,1,1
731,2,5,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,3,4,0,4,3,5,1,1
1647,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,3,4,1,0,2,0,1,1
1176,1,22,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3,4,4,5,4,6,1,1
553,1,1,1,1,0,1,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,3,2,4,3,5,1,0
1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
167,1,26,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,2,2,4,3,5,1,2
957,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,4,3,5,1,1
1373,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,3,0,2,1,1,1
1765,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
222,1,26,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,4,3,4,2,4,3,5,1,2
128,1,17,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
964,1,13,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,0,3,1,4,3,5,1,1
111,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,1,2,3,4,3,5,1,1
268,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,4,3,5,1,1
1710,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,5,4,1,1,1
213,1,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,3
1133,1,15,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,5,4,6,1,0
1662,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,4,0,1,4,1,1,1
865,1,9,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,2
1362,1,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,4,3,0,2,0,2,1
1605,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,2,3,4,3,1,4,1,1,2
593,1,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,2,4,3,5,1,1
1794,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,2
1538,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
1260,1,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
493,1,11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2,1,2,3,4,3,5,1,1
1194,1,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,0,5,4,0,2,1
1304,1,11,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,1,3,5,0,1,1
1056,1,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,4,3,5,1,1
1551,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3,4,4,0,2,0,1,1
88,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,4,3,5,2,1
687,2,19,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,4,1,2,1,4,3,5,1,1
547,1,18,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2,1,2,2,4,3,5,1,1
1499,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,3,1,4,1,1,2
1709,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
605,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,3,2,4,3,5,2,1
498,1,18,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,2,4,3,5,1,1
237,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,4,3,5,1,1
1201,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,3,5,6,1,2
317,1,26,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,2
1630,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,4,0,1,4,1,1,1
84,1,26,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,3,0,3,4,4,3,5,2,1
1084,1,15,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,2,4,6,2,1
468,1,26,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
1409,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,0,2,1,1,1
1510,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,2,4,6,1,1
1815,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,1,4,1,1,1
1816,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,3,4,3,1,4,1,1,2
1554,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,5,4,0,1,1
1762,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1348,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,3,0,2,1,1,1
838,1,13,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
527,1,18,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1153,1,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,3,5,6,1,1
425,1,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,4,3,5,1,1
508,1,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,3,5,1,2
55,1,11,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,4,0,3,3,4,3,5,1,2
69,1,11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,4,3,5,0,2
1803,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,3,1,4,1,1,1
921,1,22,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,2,3,3,4,3,5,1,1
513,1,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4,2,3,3,4,3,5,1,0
1827,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1766,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,0,5,4,1,1,1
208,1,26,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,2,2,0,3,4,3,5,1,0
1691,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,3,4,3,5,4,1,2,1
539,1,2,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,2,3,4,3,4,3,5,1,1
1769,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
1839,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,1,1,4,0,1,1
78,1,11,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,4,0,3,3,4,3,5,0,1
1185,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,2,1,4,0,0,1
1330,1,26,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,3,4,3,0,2,3,2,1
1161,1,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
1300,1,17,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,2,2
1179,1,15,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,4,3,4,3,2,5,3,1,1
1199,2,16,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,2,2
452,1,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,3,4,3,5,1,1
1454,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,1,4,1,1,1
826,1,13,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,1,2,4,4,3,5,1,1
1579,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,2,5,3,1,2
708,1,13,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
674,2,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1502,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,2,4,3,4,1,3,1,3,1,1
1516,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
571,1,15,1,0,1,0,0,0,0,1,1,0,0,1,2,0,0,0,0,3,3,1,2,4,4,3,5,1,1
1203,1,2,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,3,3,3,4,0,5,4,6,1,1
1442,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
477,1,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,2,3,3,4,3,5,1,1
189,1,26,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,3,3,1,2,4,4,3,5,1,0
607,1,4,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,2,3,4,3,5,1,2
968,1,22,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,0,4,3,5,1,1
24,1,17,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,5,0,3,3,4,3,5,1,2
