,Answer ID,Date,Phase,Type of territory,Borough / Linked city,Trade status,Stakes: Financial support?,Stakes: Maintenance of operations?,Stakes: Taxation (taxes and levies)?,Stakes: Human resources?,Stakes: Regulation?,Stakes: Marketing?,Stakes: Health and safety?,Stakes: Search for sanitary equipment?,Stakes: Space planning?,Stakes: Permit for outdoor terraces?,Stakes: Other?,Interest in the emergency aid program?,Social media presence?,Presence on Facebook?,Presence on Twitter?,Presence on Instagram?,Presence on LinkedIn?,Do you sell online?,Online sales channel,Do you know the urban delivery service?,Are you interested in the urban delivery service?,Interest in the support program for the digital transformation of companies?,Do you offer a delivery service?,Are you satisfied with your current delivery service?,Would you be interested in the urban delivery service (by bike) set up by the City of Montreal and its partners if you had access?,Was the information we gave you useful to you?
1549,1550,2020-08-27,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Oui (service maison),Satisfait,Non,Oui
1550,1551,2020-08-27,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Réponse inconnue,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Sans réponse,Oui,Oui
1551,1552,2020-08-27,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Non,Non applicable,Non,Oui
1552,1553,2020-08-27,4,,,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Non,Non applicable,Oui,Oui
1553,1554,2020-08-27,4,,,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Oui (service maison),Sans réponse,Sans réponse,Oui
1554,1555,2020-08-27,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Sans réponse,Sans réponse,Non,Oui
1555,1556,2020-08-27,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1556,1557,2020-08-27,4,,,Partiellement ouvert,,Oui,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Réponse inconnue,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Non,Non applicable,Non applicable,Oui
1557,1558,2020-08-27,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non,Non applicable,Non applicable,Oui
1558,1559,2020-08-27,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Oui,Oui
1559,1560,2020-08-27,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1560,1561,2020-08-27,4,,,Partiellement ouvert,Oui,Oui,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Oui (service maison),Satisfait,Oui,Oui
1561,1562,2020-08-27,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1562,1563,2020-08-27,4,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Oui (service maison),Satisfait,Oui,Oui
1563,1564,2020-08-27,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1564,1565,2020-08-27,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Satisfait,Non,Oui
1565,1566,2020-08-27,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Non applicable,Sans réponse,Non applicable,Sans réponse
1566,1567,2020-08-27,4,,,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Oui (service maison),Sans réponse,Sans réponse,Oui
1567,1568,2020-08-27,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Non applicable,Oui
1568,1569,2020-08-27,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1569,1570,2020-08-27,4,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1570,1571,2020-08-27,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1571,1572,2020-08-27,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1572,1573,2020-08-27,4,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1573,1574,2020-08-27,4,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Sans réponse,Oui
1574,1575,2020-08-27,4,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1575,1576,2020-08-28,4,,,Partiellement ouvert,,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non,Non applicable,Non applicable,Oui
1576,1577,2020-08-28,4,,,Ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Réponse inconnue,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Satisfait,Oui,Oui
1577,1578,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1578,1579,2020-08-28,4,,,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Non,Sans réponse
1579,1580,2020-08-28,4,,,Partiellement ouvert,,Oui,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Oui (service maison),Satisfait,Oui,Oui
1580,1581,2020-08-28,4,,,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1581,1582,2020-08-28,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1582,1583,2020-08-28,4,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1583,1584,2020-08-28,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Non,Oui
1584,1585,2020-08-28,4,,,Partiellement ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1585,1586,2020-08-28,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1586,1587,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Oui,Oui
1587,1588,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Oui,Oui
1588,1589,2020-08-28,4,,,Partiellement ouvert,,,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Oui (service maison),Satisfait,Non,Oui
1589,1590,2020-08-28,4,,,Ouvert,Oui,,Oui,Oui,,,,,,,Oui,Oui,Non,,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1590,1591,2020-08-28,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Oui (service maison),Moyennement satisfait,Oui,Sans réponse
1591,1592,2020-08-28,4,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Non,Non,,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Non applicable,Sans réponse,Non,Non
1592,1593,2020-08-28,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Non applicable,Sans réponse,Non applicable,Sans réponse
1593,1594,2020-08-28,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1594,1595,2020-08-28,4,,,Ouvert,Oui,,Oui,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Non applicable,Oui
1595,1596,2020-08-28,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Sans réponse,Oui
1596,1597,2020-08-28,2,Ville liée,Dollard-des-Ormeaux,Ouvert,,,,,,,,Oui,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Non applicable,Sans réponse,Non applicable,Oui
1597,1598,2020-08-28,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Non,Non applicable,Oui,Oui
1598,1599,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Non,Oui
1599,1600,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non,Non applicable,Non,Oui
1600,1601,2020-08-28,1,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1601,1602,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Réponse inconnue,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Oui (via un tiers),Moyennement satisfait,Non,Oui
1602,1603,2020-08-28,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1603,1604,2020-08-28,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Oui,Oui
1604,1605,2020-08-28,1,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1605,1606,2020-08-28,4,,,Partiellement ouvert,Oui,,,Oui,,Oui,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Non applicable,Oui
1606,1607,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Non,Oui
1607,1608,2020-08-28,1,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1608,1609,2020-08-28,4,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Oui (service maison),Moyennement satisfait,Oui,Oui
1609,1610,2020-08-28,1,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Non,Non applicable,Non,Oui
1610,1611,2020-08-28,1,,,Ouvert,,Oui,,,,Oui,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Satisfait,Non applicable,Oui
1611,1612,2020-08-28,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1612,1613,2020-08-28,1,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Moyennement satisfait,Sans réponse,Oui
1613,1614,2020-08-28,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1614,1615,2020-08-28,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Non
1615,1616,2020-08-31,4,,,Partiellement ouvert,,Oui,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Oui (service maison),Sans réponse,Non applicable,Oui
1616,1617,2020-08-31,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1617,1618,2020-08-31,4,,,Ouvert,,,,,,,,,,Oui,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Oui (via un tiers),Satisfait,Non applicable,Oui
1618,1619,2020-08-31,1,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1619,1620,2020-08-31,1,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1620,1621,2020-08-31,4,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1621,1622,2020-08-31,4,,,Statut inconnu,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1622,1623,2020-08-31,1,,,Ouvert,,Oui,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Non applicable,Non applicable,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Satisfait,Non applicable,Oui
1623,1624,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1624,1625,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Oui,Oui
1625,1626,2020-08-31,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Sans réponse,Sans réponse,Sans réponse,Oui
1626,1627,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non,Oui
1627,1628,2020-08-31,4,,,Ouvert,Oui,,,Oui,,Oui,,,,,Oui,Oui,Non,,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Non applicable,Oui
1628,1629,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1629,1630,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Non applicable,Oui
1630,1631,2020-08-31,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1631,1632,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Non applicable,Oui
1632,1633,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non,Non applicable,Non applicable,Oui
1633,1634,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Oui,Oui
1634,1635,2020-08-31,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1635,1636,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Sans réponse,Sans réponse,Non applicable,Oui
1636,1637,2020-08-31,4,,,Ouvert,,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Sans réponse,Sans réponse,Sans réponse,Oui
1637,1638,2020-08-31,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Non applicable,Sans réponse,Non applicable,Sans réponse
1638,1639,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1639,1640,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1640,1641,2020-08-31,1,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1641,1642,2020-08-31,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1642,1643,2020-08-31,4,,,Ouvert,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Non applicable,Oui
1643,1644,2020-08-31,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1644,1645,2020-09-01,4,,,Partiellement ouvert,Oui,Oui,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1645,1646,2020-09-01,4,,,Ouvert,,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Sans réponse,Sans réponse,Sans réponse,Oui
1646,1647,2020-09-01,4,,,Ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Non applicable,Oui
1647,1648,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Non,Oui
1648,1649,2020-09-01,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1649,1650,2020-09-01,4,,,Ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Oui,Oui
1650,1651,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Non,Oui
1651,1652,2020-09-01,1,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non,Non applicable,Non applicable,Oui
1652,1653,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1653,1654,2020-09-01,4,,,Ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Oui (via un tiers),Moyennement satisfait,Non,Oui
1654,1655,2020-09-01,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1655,1656,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1656,1657,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Oui,Oui
1657,1658,2020-09-01,4,,,Ouvert,Oui,,Oui,,,,,,,,,Sans réponse,Non,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Non,Oui
1658,1659,2020-09-01,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1659,1660,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Sans réponse,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Oui,Oui
1660,1661,2020-09-01,4,,,Partiellement ouvert,Oui,,,,,,,Oui,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1661,1662,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Sans réponse,Sans réponse,Non applicable,Sans réponse
1662,1663,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1663,1664,2020-09-01,4,,,Ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Oui,Réponse inconnue,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Oui (via un tiers),Moyennement satisfait,Oui,Oui
